image_path,caption,width,height,similarity,punsafe,pwatermark,aesthetic_score,caption_len_words,exists,keep_quality,clipscore,face_detected,gender,age_group,race,skin_tone
src/data/data/laion_aesthetic_subset_big\000000.jpg,Photo pour Japanese pagoda and old house in Kyoto at twilight - image libre de droit,450.0,297.0,0.3459470868110657,0.0005410015583038,0.0340985059738159,6.526203632354736,16,True,True,0.33584124,False,,,,
src/data/data/laion_aesthetic_subset_big\000003.jpg,San Pedro: One Of Mother Nature's Most Powerful Psychedelics | Ayahuasca  アヤワスカ | Scoop.it,467.0,369.0,0.3088734149932861,0.000611662864685,0.1027045175433158,6.749783039093018,14,True,True,0.3001245856285095,False,,,,
src/data/data/laion_aesthetic_subset_big\000004.jpg,"YZV200025S © Stocktrek Images, Inc. 360 panorama of the Milky Way over Lago-Naki plateau, Russia.",650.0,308.0,0.332099974155426,1.2845916899095757e-05,0.0571784228086471,6.52937126159668,15,True,True,0.34268296,False,,,,
src/data/data/laion_aesthetic_subset_big\000005.jpg,Grace Kelly Outfits,1024.0,1437.0,0.316754013299942,0.0217559337615966,0.1605802029371261,6.592924118041992,3,True,True,0.3230607211589813,True,Male,50-59,Black,Dark
src/data/data/laion_aesthetic_subset_big\000010.jpg,"Painting of Nature - beauty, gorgeous, entrancing, stunning, green, neat, boat",450.0,299.0,0.3070380985736847,2.908220812969376e-05,0.2478957921266555,6.657495498657227,11,True,True,0.3051499724388122,False,,,,
src/data/data/laion_aesthetic_subset_big\000017.jpg,"Lone tree Derek Hansen , UK is the photographer. I really like this photo.",236.0,246.0,0.3257942795753479,2.225886873929994e-06,0.0728679746389389,6.756768226623535,14,True,True,0.3145515620708465,False,,,,
src/data/data/laion_aesthetic_subset_big\000019.jpg,Wallpaper Red hair girl and fox sit on ground,566.0,354.0,0.3444930016994476,0.0008823275566101,0.1801933050155639,6.5429534912109375,9,True,True,0.3584871888160705,True,Male,50-59,Black,Dark
src/data/data/laion_aesthetic_subset_big\000020.jpg,La fo alton brown los angeles 20170308 q70xcd,899.0,900.0,0.3183841705322265,0.0018879175186157,0.1271184831857681,6.549659729003906,8,True,True,0.3234730064868927,True,Male,40-49,Southeast Asian,Light
src/data/data/laion_aesthetic_subset_big\000023.jpg,Image result for grace kelly color,600.0,750.0,0.3706243634223938,0.0055312514305114,0.2308046519756317,6.581737518310547,6,True,True,0.30691326,True,Male,50-59,Black,Dark
src/data/data/laion_aesthetic_subset_big\000024.jpg,Aztec City by 7leipnir on DeviantArt: 7leipnir.deviantart.com/art/Aztec-City-350447727,1067.0,800.0,0.3294843137264251,0.0010170936584472,0.0535246320068836,6.517390727996826,7,True,True,0.3106003105640411,False,,,,
src/data/data/laion_aesthetic_subset_big\000025.jpg,Chris Forsey RI,300.0,300.0,0.3535512387752533,1.0534720331634162e-06,0.148258700966835,6.670073986053467,3,True,True,0.3353999257087707,False,,,,
src/data/data/laion_aesthetic_subset_big\000034.jpg,Aspens Painting - Aspen Flame by Erin Hanson,236.0,313.0,0.3464882373809814,2.668687386631064e-07,0.0403910763561725,6.616889476776123,8,True,True,0.3594552874565124,False,,,,
src/data/data/laion_aesthetic_subset_big\000036.jpg,"Genos, One Punch Man (M: THIS! is going as my profile pic right now) (Incredible art!!) (Seriously, all hail to the artist)",736.0,883.0,0.3492026925086975,0.0006072521209716,0.4015202224254608,6.50450325012207,22,True,True,0.3418839,False,,,,
src/data/data/laion_aesthetic_subset_big\000037.jpg,Bing Crosby in 1932. | Source: Wikimedia Commons,2194.0,2850.0,0.3112532794475555,5.5139880714705214e-05,0.1687448471784591,6.675487041473389,8,True,True,0.3285375535488128,True,Male,40-49,Black,Dark
src/data/data/laion_aesthetic_subset_big\000040.jpg,beauty shot: Beautiful young woman with full red lips and braid hairstyle. Beauty shot over red background.,300.0,450.0,0.330724686384201,0.1167982518672943,0.1990589946508407,6.50152587890625,17,True,True,0.32150376,True,Male,50-59,Black,Dark
src/data/data/laion_aesthetic_subset_big\000044.jpg,Portrait of Kenyah Woman,1000.0,1000.0,0.3245837092399597,7.269273191923276e-05,0.1524333953857422,6.754868507385254,4,True,True,0.31450945,True,Female,0-2,Middle Eastern,Medium
src/data/data/laion_aesthetic_subset_big\000045.jpg,Spire By Moonlight,683.0,1024.0,0.3042970895767212,2.53537145908922e-05,0.3756700456142425,6.562863826751709,3,True,True,0.303183,False,,,,
src/data/data/laion_aesthetic_subset_big\000047.jpg,Artist Shows Off The Fleeting Nature Of Beauty With Crumbling Portraits (11 pics),700.0,454.0,0.3021651804447174,3.2104766432894394e-05,0.0713997557759285,6.703152179718018,13,True,True,0.2992355823516845,True,Male,3-9,Black,Dark
src/data/data/laion_aesthetic_subset_big\000051.jpg,"Frantisek Tavik Simon, Vilma reading on a Sofa, 1912",899.0,755.0,0.3221295773983001,2.663809254954685e-06,0.0473505556583404,6.60737419128418,9,True,True,0.3086141645908355,True,Male,50-59,Black,Dark
src/data/data/laion_aesthetic_subset_big\000053.jpg,Asian Architecture Backgrounds on Wallpapers Vista,1440.0,900.0,0.3272080719470978,0.0039249956607818,0.2101122885942459,6.526300430297852,6,True,True,0.3062990009784698,True,Female,40-49,Latino_Hispanic,Medium
src/data/data/laion_aesthetic_subset_big\000056.jpg,File photo. An environmentalist group is trying to drum up petition signatures to stop the Ministry of Forests from extending wolf trapping season on Vancouver Island by two months.,720.0,480.0,0.2998846173286438,6.97217183187604e-06,0.0949490815401077,6.681879043579102,29,True,True,0.311588704586029,False,,,,
src/data/data/laion_aesthetic_subset_big\000057.jpg,"Grassmarket, Edinburgh Scotland.jpeg",600.0,842.0,0.3095622062683105,3.80782182674011e-07,0.0726694017648696,6.624067306518555,3,True,True,0.3095329,False,,,,
src/data/data/laion_aesthetic_subset_big\000059.jpg,"""""""Practice"""" - Ivan 小红花 {figurative art male head bearded man face portrait monochrome digital painting}""",736.0,1110.0,0.3340848088264465,7.087994617904769e-06,0.406671792268753,6.882492542266846,15,True,True,0.3053538799285888,True,Male,40-49,Black,Dark
src/data/data/laion_aesthetic_subset_big\000062.jpg,"Hot air balloons and Red valley  at sunset in Goreme, Cappadocia in Turkey.",427.0,240.0,0.3230397999286651,1.01609493867727e-05,0.4970802068710327,6.526464939117432,13,True,True,0.3080492,False,,,,
src/data/data/laion_aesthetic_subset_big\000066.jpg,Portrait of woman smiling while standing amidst masks in store,800.0,533.0,0.3406651318073272,0.0216906070709228,0.0927457362413406,6.5883893966674805,10,True,True,0.3125379383563995,True,Male,3-9,Indian,Medium
src/data/data/laion_aesthetic_subset_big\000069.jpg,"Boys on bicycle hitching ride on Pontiac Woody, ca. 1940s",640.0,893.0,0.3405879437923431,7.558252491435269e-06,0.1447172611951828,6.51593828201294,10,True,True,0.3436469435691833,True,Male,40-49,Latino_Hispanic,Medium
src/data/data/laion_aesthetic_subset_big\000071.jpg,Rocky Mountain Landscape Meadow In Spring Western Panorama,900.0,900.0,0.2875338792800903,1.2897214674012505e-07,0.0799942761659622,6.868598461151123,8,True,True,0.3042632937431335,False,,,,
src/data/data/laion_aesthetic_subset_big\000073.jpg,"Light it up by Hendri Suhandi - Landscapes Sunsets & Sunrises ( bali, sanur, beach, sunrise )",285.0,285.0,0.3214243352413177,0.0003588795661926,0.1718188822269439,6.693210601806641,17,True,True,0.323921263217926,False,,,,
src/data/data/laion_aesthetic_subset_big\000077.jpg,Concept art for the handcrafted lightsaber retail experience.,700.0,389.0,0.3431727290153503,0.0004816353321075,0.1591376811265945,6.565195083618164,8,True,True,0.3018938899040222,True,Female,40-49,Latino_Hispanic,Medium
src/data/data/laion_aesthetic_subset_big\000083.jpg,Country Roads Painting,900.0,676.0,0.2923628091812134,1.8122998426406407e-06,0.1264489144086837,6.8639235496521,3,True,True,0.3003116250038147,False,,,,
src/data/data/laion_aesthetic_subset_big\000084.jpg,James Thomas Linnell - Harvesting at Sunset 1851,690.0,507.0,0.3717503249645233,8.376026926271152e-06,0.0886412560939788,6.615830421447754,8,True,True,0.36753166,False,,,,
src/data/data/laion_aesthetic_subset_big\000087.jpg,"Amazing cliffs Aval of Etretat and beautiful famous coastline,Normandy,France,Europe",450.0,300.0,0.3089123070240021,1.9807543139904737e-05,0.1547835320234298,6.546377182006836,9,True,True,0.3320211172103882,False,,,,
src/data/data/laion_aesthetic_subset_big\000088.jpg,Photo pour beautiful fashion woman on a car in Paris  - image libre de droit,450.0,410.0,0.3570677936077118,0.0177961885929107,0.1791342943906784,6.538856506347656,15,True,True,0.3425852358341217,True,Male,3-9,Black,Dark
src/data/data/laion_aesthetic_subset_big\000089.jpg,The Romantic Ancient Village of Campobasso in Italy.,500.0,571.0,0.3260979056358337,1.2715148841380142e-05,0.032774344086647,6.940165042877197,8,True,True,0.3200669288635254,False,,,,
src/data/data/laion_aesthetic_subset_big\000092.jpg,Trout Lake Water Tank Photograph 8406 | Historical Colorado Photography  | Koral Martin Fine Art Photography,1000.0,670.0,0.3316256105899811,3.889918502864021e-07,0.3289900422096252,6.691145896911621,16,True,True,0.2999577522277832,False,,,,
src/data/data/laion_aesthetic_subset_big\000093.jpg,jubileebridge marinabay singapore water sunrise 2017 d600 ngc nikonfxshowcase nikkor1635mmf4 cityscape reflection,500.0,340.0,0.3434499204158783,2.4875069357221943e-05,0.1652482897043228,6.572591304779053,12,True,True,0.3118433952331543,False,,,,
src/data/data/laion_aesthetic_subset_big\000096.jpg,Blue Moon Expedition by Duy Huynh art print,448.0,336.0,0.3135097920894623,1.8684479073272087e-05,0.2576045989990234,6.6239519119262695,8,True,True,0.30668533,False,,,,
src/data/data/laion_aesthetic_subset_big\000098.jpg,Bloglet Pertaining To Widely Used Daring Color And Movement Hairstyles (View 10 of 20),805.0,1024.0,0.3112854063510895,0.0081250071525573,0.2040730714797973,6.607255935668945,14,True,True,0.3029088377952575,True,Male,50-59,Black,Dark
src/data/data/laion_aesthetic_subset_big\000099.jpg,"Lightning Strike, Half Dome, Yosemite",400.0,267.0,0.3767918348312378,3.242118395974103e-07,0.1388289779424667,6.613583564758301,5,True,True,0.3802612423896789,False,,,,
src/data/data/laion_aesthetic_subset_big\000101.jpg,J. Litvinas Original Oil Painting 'WINTER ROAD' 10 by 10 inches,224.0,225.0,0.3518496453762054,1.856729795690626e-05,0.2205559909343719,6.505590438842773,11,True,True,0.33273166,False,,,,
src/data/data/laion_aesthetic_subset_big\000102.jpg,"Balloons in a Field of Tulips by Chris Bartell - Landscapes Prairies, Meadows & Fields ( field, tulips, balloons, morning, landscape,  )",285.0,285.0,0.3450930118560791,7.028758773230948e-06,0.1713213920593261,6.612000942230225,22,True,True,0.3626450300216675,False,,,,
src/data/data/laion_aesthetic_subset_big\000105.jpg,Frameless Paris Flower Street Landscape DIY Painting By Numbers,390.0,313.0,0.3562849462032318,3.18701786454767e-05,0.03544632345438,6.9385085105896,9,True,True,0.34913206,False,,,,
src/data/data/laion_aesthetic_subset_big\000107.jpg,Poldark star Jack Farthing on heartbreaking George Warleggan twist: 'It comes out of nowhere',480.0,360.0,0.3493983745574951,0.0004805028438568,0.1240555047988891,6.798240184783936,14,True,True,0.31886068,True,Male,40-49,Black,Dark
src/data/data/laion_aesthetic_subset_big\000109.jpg,bhutan wallpaper travel tigers nest Paro Taktsang,500.0,333.0,0.3249683678150177,1.7421414668206125e-05,0.0576463900506496,6.52363395690918,7,True,True,0.3231618404388428,False,,,,
src/data/data/laion_aesthetic_subset_big\000113.jpg,menz hair style 17 best images about s hairstyles on 8842 | e79690b1cf03512815b23d14cc1d2e8f,630.0,840.0,0.3315322399139404,0.0021513402462005,0.3578863143920898,6.510388851165772,13,True,True,0.3042667508125305,True,Male,40-49,Black,Dark
src/data/data/laion_aesthetic_subset_big\000114.jpg,Morning Mist Lakes / Rivers / Streams Jigsaw Puzzle,1200.0,906.0,0.3165418803691864,3.0530780350090936e-05,0.4243804812431335,6.706151962280273,9,True,True,0.3015876710414886,True,Female,0-2,East Asian,Light
src/data/data/laion_aesthetic_subset_big\000120.jpg,"William-Adolphe Bouguereau (1825-1905)Temptation,(1880)",540.0,408.0,0.3141939043998718,3.02403077512281e-05,0.208107054233551,6.544204235076904,3,True,True,0.3133569955825805,True,Male,70+,White,Light
src/data/data/laion_aesthetic_subset_big\000125.jpg,Painting: Still life with pears and green bottle,600.0,486.0,0.3142940402030945,7.473876166841364e-07,0.0922412276268005,6.7111496925354,8,True,True,0.3321344256401062,False,,,,
src/data/data/laion_aesthetic_subset_big\000129.jpg,Camping in the Canyon 3d modelling 3d model tent hot air balloons hot air balloon water river desert cactus rock canyon puffy clouds camping nature art low-poly lowpolyart low poly blender 3d art 3d,397.0,300.0,0.3513524830341339,4.403286311571719e-06,0.1019207388162612,6.655764102935791,34,True,True,0.3232301473617553,False,,,,
src/data/data/laion_aesthetic_subset_big\000130.jpg,Springtime in the Rockies (Print),376.0,376.0,0.3148816227912903,5.6506749501750164e-08,0.1528570055961609,6.933502674102783,5,True,True,0.305851399898529,False,,,,
src/data/data/laion_aesthetic_subset_big\000134.jpg,Glass bottom skywalk Grand Canyon Arizona. I have actually walked on the,248.0,328.0,0.3192094564437866,4.13565467169974e-05,0.2972848415374756,6.508930206298828,12,True,True,0.3110347986221313,False,,,,
src/data/data/laion_aesthetic_subset_big\000140.jpg,Mont St-Michel Sunset DRI-Getty-Finale,640.0,426.0,0.3460675477981567,2.3859533030190505e-05,0.0585307665169239,6.534357070922852,4,True,True,0.3397664725780487,False,,,,
src/data/data/laion_aesthetic_subset_big\000141.jpg,VEO tripod at Chenonceau Castle France,400.0,300.0,0.3490495681762695,1.1959622270296677e-06,0.1956167668104171,6.501060962677002,6,True,True,0.34366462,False,,,,
src/data/data/laion_aesthetic_subset_big\000142.jpg,central park snowy path at christmas painting by elaine,474.0,338.0,0.3380885124206543,2.4522183593944646e-05,0.1404940038919448,6.527460098266602,9,True,True,0.33960915,False,,,,
src/data/data/laion_aesthetic_subset_big\000147.jpg,"David Howell PPRSMA, Low water at Staithes",800.0,563.0,0.3452487885951996,2.254996388728614e-06,0.1708014011383056,6.661639213562012,7,True,True,0.31883404,False,,,,
src/data/data/laion_aesthetic_subset_big\000148.jpg,"Air Force Tech Sgt. Amanda Geray  sits in front of a mural in the Thunderbird hangar conference room at Nellis Air Force Base on Wednesday, Jan. 15, 2014. She becomes the first female line chief i ...",640.0,484.0,0.4188422858715057,0.0024138391017913,0.047286219894886,6.552014350891113,37,True,True,0.3724828362464905,True,Male,40-49,Black,Dark
src/data/data/laion_aesthetic_subset_big\000153.jpg,"Mountain Lake, West Siberia, Altai mountains, Katun ridge  photo",450.0,297.0,0.3075505495071411,7.552297756774351e-05,0.0981585681438446,6.523818492889404,9,True,True,0.3015137314796448,False,,,,
src/data/data/laion_aesthetic_subset_big\000155.jpg,Image Result For What Is Tonal Watercolour Watercolor Landscape,322.0,400.0,0.3217632174491882,3.33550616460343e-07,0.4381392002105713,6.63908576965332,9,True,True,0.3326057493686676,False,,,,
src/data/data/laion_aesthetic_subset_big\000156.jpg,"woman in flower fields next to red castle and mountain,illustration painting",450.0,300.0,0.3080343604087829,7.459742482751608e-05,0.2090141028165817,6.769543647766113,11,True,True,0.3152692914009094,False,,,,
src/data/data/laion_aesthetic_subset_big\000157.jpg,stunning: King Penguins in the Falkland Islands,450.0,281.0,0.3495665788650512,2.504078793208464e-06,0.1586897373199463,6.612697124481201,7,True,True,0.344256192445755,False,,,,
src/data/data/laion_aesthetic_subset_big\000158.jpg,"Kin Shu Tofuki Ji (Tofukuji Temple with red maple), woodblock print by 加藤晃秀 Teruhide Kato.",236.0,484.0,0.3534211814403534,8.219814162657713e-07,0.0601989664137363,6.760920524597168,15,True,True,0.34290195,False,,,,
src/data/data/laion_aesthetic_subset_big\000161.jpg,Best Dressed at the 2014 Oscars  - Redbook.com,525.0,700.0,0.3438058793544769,0.1625772714614868,0.087954357266426,6.645147800445557,8,True,True,0.33562467,True,Female,50-59,Black,Dark
src/data/data/laion_aesthetic_subset_big\000163.jpg,Glenfinnan Railway Viaduct in Scotland with the Jacobite steam train passing over. Artistic vintage style processing.,450.0,300.0,0.3317192196846008,2.701467792576296e-06,0.4796604216098785,6.572625160217285,16,True,True,0.3423387408256531,False,,,,
