image_path,old_caption,new_caption,clipscore,caption_is_noisy
src/data/data/laion_aesthetic_subset_big\000003.jpg,San Pedro: One Of Mother Nature's Most Powerful Psychedelics | Ayahuasca  アヤワスカ | Scoop.it,,0.3001245856285095,False
src/data/data/laion_aesthetic_subset_big\000010.jpg,"Painting of Nature - beauty, gorgeous, entrancing, stunning, green, neat, boat",,0.3051499724388122,False
src/data/data/laion_aesthetic_subset_big\000023.jpg,Image result for grace kelly color,,0.30691326,False
src/data/data/laion_aesthetic_subset_big\000045.jpg,Spire By Moonlight,,0.303183,False
src/data/data/laion_aesthetic_subset_big\000047.jpg,Artist Shows Off The Fleeting Nature Of Beauty With Crumbling Portraits (11 pics),,0.2992355823516845,False
src/data/data/laion_aesthetic_subset_big\000051.jpg,"Frantisek Tavik Simon, Vilma reading on a Sofa, 1912",,0.3086141645908355,False
src/data/data/laion_aesthetic_subset_big\000053.jpg,Asian Architecture Backgrounds on Wallpapers Vista,,0.3062990009784698,False
src/data/data/laion_aesthetic_subset_big\000057.jpg,"Grassmarket, Edinburgh Scotland.jpeg",,0.3095329,True
src/data/data/laion_aesthetic_subset_big\000059.jpg,"""""""Practice"""" - Ivan 小红花 {figurative art male head bearded man face portrait monochrome digital painting}""",,0.3053538799285888,False
src/data/data/laion_aesthetic_subset_big\000062.jpg,"Hot air balloons and Red valley  at sunset in Goreme, Cappadocia in Turkey.",,0.3080492,False
src/data/data/laion_aesthetic_subset_big\000071.jpg,Rocky Mountain Landscape Meadow In Spring Western Panorama,,0.3042632937431335,False
src/data/data/laion_aesthetic_subset_big\000077.jpg,Concept art for the handcrafted lightsaber retail experience.,,0.3018938899040222,False
src/data/data/laion_aesthetic_subset_big\000083.jpg,Country Roads Painting,,0.3003116250038147,False
src/data/data/laion_aesthetic_subset_big\000092.jpg,Trout Lake Water Tank Photograph 8406 | Historical Colorado Photography  | Koral Martin Fine Art Photography,,0.2999577522277832,False
src/data/data/laion_aesthetic_subset_big\000096.jpg,Blue Moon Expedition by Duy Huynh art print,,0.30668533,False
src/data/data/laion_aesthetic_subset_big\000098.jpg,Bloglet Pertaining To Widely Used Daring Color And Movement Hairstyles (View 10 of 20),,0.3029088377952575,False
src/data/data/laion_aesthetic_subset_big\000113.jpg,menz hair style 17 best images about s hairstyles on 8842 | e79690b1cf03512815b23d14cc1d2e8f,,0.3042667508125305,False
src/data/data/laion_aesthetic_subset_big\000114.jpg,Morning Mist Lakes / Rivers / Streams Jigsaw Puzzle,,0.3015876710414886,False
src/data/data/laion_aesthetic_subset_big\000130.jpg,Springtime in the Rockies (Print),,0.305851399898529,False
src/data/data/laion_aesthetic_subset_big\000153.jpg,"Mountain Lake, West Siberia, Altai mountains, Katun ridge  photo",,0.3015137314796448,False
src/data/data/laion_aesthetic_subset_big\000170.jpg,Cathedral by molybdenumgp03,,0.30273768,False
src/data/data/laion_aesthetic_subset_big\000195.jpg,"Norman J. McCaig, By the Banks of the Grand Canal at Morgan O'Driscoll Art Auctions",,0.30540696,False
src/data/data/laion_aesthetic_subset_big\000212.jpg,chrysler building construction new york city nyc,,0.3010005354881286,False
src/data/data/laion_aesthetic_subset_big\000236.jpg,Digital Art by Charlie Bowater,,0.3021769523620605,False
src/data/data/laion_aesthetic_subset_big\000237.jpg,brown wooden dock between lavender flower field near body of water during golden hour,,0.30032426,False
src/data/data/laion_aesthetic_subset_big\000243.jpg,instantShift - Brilliant Examples of Infrared Photography,,0.3009407520294189,False
src/data/data/laion_aesthetic_subset_big\000267.jpg,Beautiful Hd Wallpapers From China Funoticcom Part 2,,0.3019286096096039,False
src/data/data/laion_aesthetic_subset_big\000288.jpg,Photographer captures the Milky Way with moonlight,,0.3047878742218017,False
src/data/data/laion_aesthetic_subset_big\000297.jpg,Francis J. Underwood by alfalert,,0.3082953691482544,False
src/data/data/laion_aesthetic_subset_big\000313.jpg,"Michelle Murray 1962 - American Figurative painter - Tutt'Art@ (4) (549x550, 465Kb)",,0.3057641685009002,False
src/data/data/laion_aesthetic_subset_big\000329.jpg,Photograph Winter In The Arches by Kevin McNeal on 500px,,0.3044938445091247,False
src/data/data/laion_aesthetic_subset_big\000344.jpg,Archway to Venice 2003 Embellished Limited Edition Print by Sam Park,,0.3059506416320801,False
src/data/data/laion_aesthetic_subset_big\000373.jpg,"Prize catch: one of China's cormorant fishermen, famously depicted in HSBC's TV ads",,0.3023279905319214,False
src/data/data/laion_aesthetic_subset_big\000374.jpg,"SEREBRIAKOVA, ZINAIDA (1884-1967) - photo 1",,0.299215704202652,False
src/data/data/laion_aesthetic_subset_big\000379.jpg,Highlands of Iceland,,0.3065343,False
src/data/data/laion_aesthetic_subset_big\000385.jpg,Antonia Wesseloh by Jacques Olivar for Marie Claire Italia October 2013,,0.30929834,False
src/data/data/laion_aesthetic_subset_big\000387.jpg,Stream's Golden Glow,,0.3081565201282501,False
