image_path,caption,width,height,similarity,punsafe,pwatermark,aesthetic_score
data/laion_aesthetic_subset\000000.jpg,Back view of woman holding skull,236.0,338.0,0.3078655004501343,0.0024437308311462402,0.30988478660583496,6.594911098480225
data/laion_aesthetic_subset\000001.jpg,"Henryk Semiradsky,  Christ And The Sinner | 1875, oil on canvas,  Russian Museum",500.0,250.0,0.3004785180091858,5.941160998190753e-05,0.05091698840260506,6.568063735961914
data/laion_aesthetic_subset\000002.jpg,Suitsupply spring collection,600.0,450.0,0.316892147064209,0.009034901857376099,0.23120900988578796,6.682417869567871
data/laion_aesthetic_subset\000003.jpg,"luzfosca:  Elliott Erwitt New York City, 1955 [via Everyday_I_Show] Thanks to liquidnight",701.0,1024.0,0.3361671566963196,0.00010504123201826587,0.5464707016944885,6.675719738006592
data/laion_aesthetic_subset\000004.jpg,Eiffel Tower - Milky Way Collage  HD Metal print with Floating Frame on Back,884.0,1286.0,0.37361687421798706,1.1641466699074954e-05,0.2897757589817047,6.8508524894714355
data/laion_aesthetic_subset\000006.jpg,Denise Richards - denise-richards Wallpaper,500.0,313.0,0.3635512590408325,0.9840842485427856,0.2927301824092865,6.526858806610107
data/laion_aesthetic_subset\000007.jpg,Milky Way at Crater Lake by Keith Marsh,491.0,350.0,0.3577539622783661,1.7607492281968007e-06,0.35381725430488586,7.037345886230469
data/laion_aesthetic_subset\000008.jpg,"George Hurrell, Master of Hollywood Glamour Photography -Hedy Lamarr 1938",236.0,293.0,0.33283278346061707,0.0015994906425476074,0.3349076807498932,6.546855926513672
data/laion_aesthetic_subset\000010.jpg,"Mark Daly's Flags, Presidents Day, Fifth Avenue, Oil, 24 x 20. Available at Rehs Galleries.",655.0,800.0,0.3691658675670624,3.738526288543653e-07,0.8430168628692627,6.749521732330322
data/laion_aesthetic_subset\000011.jpg,White Sand Dunes New Mexico One by Bill Swindaman,526.0,350.0,0.327728807926178,9.460550813855662e-07,0.3062649071216583,6.572916507720947
data/laion_aesthetic_subset\000012.jpg,Colorful Neon City 4k,300.0,200.0,0.33852773904800415,0.0010815262794494629,0.10213373601436615,6.528256893157959
data/laion_aesthetic_subset\000014.jpg,3d Roof Wallpaper Artstation Victorian London During The Night Pau Minguell,1692.0,720.0,0.31449368596076965,0.000423431396484375,0.1299365907907486,6.667487144470215
data/laion_aesthetic_subset\000017.jpg,Impressionism Paris: Impressionist Paris Street Cityscape In Early 19th Century,946.0,791.0,0.30430474877357483,4.333391188993119e-06,0.046612393110990524,6.647584438323975
data/laion_aesthetic_subset\000018.jpg,"Picture space, night, rendering, fiction, planet, Northern lights, pyramid, pond, Egyptian",596.0,380.0,0.3648839294910431,0.0012520551681518555,0.7943233251571655,6.559447765350342
data/laion_aesthetic_subset\000022.jpg,CANVAS 1940s Pin-Up Girl in the Yellow Dress Picture Art print POSTER,475.0,679.0,0.3117697238922119,0.0008514225482940674,0.18526184558868408,6.517694473266602
